Compañia,Linea de producto,Año,Ingresos soles
DirectTV,CableTV,2017,221087868
Otros,CableTV,2017,2555754
Otros,Equipos,2017,4668237
Otros,Móvil,2017,7278487
Otros,CableTV,2017,25725
Otros,CableTV,2017,3000
Entel,Linea fija,2017,905092
Entel,Data,2017,3574251
Entel,Internet,2017,40476854
Entel,Otros,2017,46318194
Entel,Interconexión,2017,329861875
Entel,Equipos,2017,424509806
Entel,Móvil,2017,1432586927
Otros,Otros,2017,261257
Otros,Data,2017,7281775
Otros,Linea fija,2017,757630
Otros,Internet,2017,23322597
Otros,Data,2017,27543766
Otros,CableTV,2017,65051
Otros,CableTV,2017,7932
Otros,CableTV,2017,94987
Otros,CableTV,2017,57840
Otros,Interconexión,2017,75252
Otros,Larga distancia,2017,600674
Otros,Equipos,2017,610731
Otros,Otros,2017,2860599
Otros,Linea fija,2017,2897037
Otros,Público,2017,9342516
Otros,Internet,2017,21835026
Otros,Equipos,2017,503244
Otros,Data,2017,1810873
Otros,Otros,2017,2369452
Otros,Internet,2017,8426675
Otros,CableTV,2017,95129
Otros,CableTV,2017,1381265
Otros,Internet,2017,17648
Otros,Otros,2017,188801
Otros,CableTV,2017,1334419
Otros,Otros,2017,173039
Otros,CableTV,2017,3860805
Otros,Otros,2017,1154
Otros,Interconexión,2017,677538
Otros,Móvil,2017,1329348
Otros,Otros,2017,510
Otros,Linea fija,2017,49005
Otros,CableTV,2017,108827
Otros,Internet,2017,2524022
Otros,Data,2017,28754148
Otros,Otros,2017,38278630
Otros,CableTV,2017,159517
Otros,CableTV,2017,504917
Otros,CableTV,2017,355944
Otros,CableTV,2017,552819
Otros,CableTV,2017,7885
Otros,Internet,2017,100943
Otros,Otros,2017,526459
Otros,CableTV,2017,2798536
Otros,CableTV,2017,166971
Otros,CableTV,2017,91520
Otros,CableTV,2017,122103
Otros,Data,2017,1528548
Otros,CableTV,2017,26792
Otros,CableTV,2017,66899
Otros,CableTV,2017,1660031
Otros,Internet,2017,297465
Otros,CableTV,2017,1645423
Otros,Otros,2017,565648
Otros,Equipos,2017,900874
Otros,Linea fija,2017,1048944
Otros,Larga distancia,2017,3494694
Otros,Data,2017,3962285
Otros,Internet,2017,10655520
Otros,Otros,2017,12660844
Otros,Linea fija,2017,1229
Otros,Público,2017,8786
Otros,Otros,2017,239312
Otros,Equipos,2017,2026492
Otros,Internet,2017,9142403
Otros,Móvil,2017,12096491
Otros,Equipos,2017,173654
Otros,CableTV,2017,1494292
Otros,Linea fija,2017,620616
Otros,Larga distancia,2017,9487228
Otros,Otros,2017,15352444
Otros,Data,2017,17904522
Otros,Internet,2017,74360980
Otros,CableTV,2017,206011
Otros,CableTV,2017,345364
Otros,CableTV,2017,36715
Otros,Otros,2017,132744
Otros,CableTV,2017,3588713
Otros,CableTV,2017,1166195
Otros,Público,2017,9280166
Otros,Larga distancia,2017,46999
Otros,Otros,2017,197899
Otros,CableTV,2017,205420
Otros,CableTV,2017,1286552
Otros,Otros,2017,1327057
Otros,CableTV,2017,214589
Otros,Data,2017,6106463
Otros,CableTV,2017,175237
Otros,CableTV,2017,65551
Otros,CableTV,2017,73837
Otros,CableTV,2017,11237009
Otros,Otros,2017,1410064
Otros,Móvil,2017,10651138
Otros,CableTV,2017,105705
Otros,CableTV,2017,86602
Otros,CableTV,2017,57642
Otros,CableTV,2017,5670
Otros,Otros,2017,315
Otros,Internet,2017,8943
Otros,CableTV,2017,29014
Otros,CableTV,2017,2022232
Otros,CableTV,2017,526405
Movistar,Larga distancia,2017,47426626
Movistar,Público,2017,94450185
Movistar,Otros,2017,146710000
Movistar,Linea fija,2017,549588401
Movistar,Data,2017,570407000
Movistar,Interconexión,2017,680399000
Movistar,Equipos,2017,987641000
Movistar,CableTV,2017,1151089115
Movistar,Internet,2017,1326926674
Movistar,Móvil,2017,2886245000
Otros,Otros,2017,2077
Otros,CableTV,2017,94756
Otros,CableTV,2017,193835
Otros,CableTV,2017,482281
Otros,CableTV,2017,57440
Otros,Otros,2017,3322
Otros,Equipos,2017,10543
Otros,CableTV,2017,68911
Otros,CableTV,2017,256017
Otros,CableTV,2017,464775
Otros,CableTV,2017,30570
Otros,Data,2017,2964398
Otros,Internet,2017,52352
Bitel,Otros,2017,80001
Bitel,Linea fija,2017,300041
Bitel,Larga distancia,2017,822069
Bitel,Internet,2017,8637510
Bitel,Data,2017,21750843
Bitel,Equipos,2017,143032411
Bitel,Interconexión,2017,229403144
Bitel,Móvil,2017,462604981
Otros,Otros,2017,4018
Otros,CableTV,2017,2253193
Otros,CableTV,2017,321707
Otros,CableTV,2017,492605
Otros,CableTV,2017,38835
Otros,Público,2017,132010
Otros,Internet,2017,424979
Otros,Linea fija,2017,1251755
Otros,Internet,2017,62147
Otros,Linea fija,2017,19724
Otros,Equipos,2017,176210
Otros,Otros,2017,648951
Otros,Data,2017,2614092
Otros,CableTV,2018,61415
Otros,Internet,2018,93217
Otros,CableTV,2018,1261745
Claro,Público,2018,2757161
Claro,Larga distancia,2018,6750328
